genus,genus_mean,key,keyVal,rank,bacteria_id
Subdoligranulum variable,0.15211491145245276,EasternEurope,1,1,1
Bifidobacterium,0.08797212567835792,EasternEurope,1,2,2
Ruminococcus obeum,0.08139305142132182,EasternEurope,1,3,3
Faecalibacterium prausnitzii,0.051185329483275165,EasternEurope,1,4,4
Sporobacter termitidis,0.029210697780361856,EasternEurope,1,5,5
Clostridium cellulosi,0.029044195341594095,EasternEurope,1,6,6
Clostridium leptum,0.02876116592045696,EasternEurope,1,7,7
Clostridium orbiscindens,0.028190786213488132,EasternEurope,1,8,8
Dorea formicigenerans,0.02757240267496792,EasternEurope,1,9,9
Escherichia coli,0.026128398019937736,EasternEurope,1,10,10
Oscillospira guillermondii,0.11496658254319815,CentralEurope,2,1,11
Prevotella melaninogenica,0.11265576950968371,CentralEurope,2,2,12
Bacteroides vulgatus,0.0900640051663445,CentralEurope,2,3,13
Faecalibacterium prausnitzii,0.08660818757952175,CentralEurope,2,4,4
Ruminococcus obeum,0.045894831631716565,CentralEurope,2,5,3
Subdoligranulum variable,0.04444802190941741,CentralEurope,2,6,1
Sporobacter termitidis,0.0367464302044569,CentralEurope,2,7,5
Clostridium cellulosi,0.030835780989297196,CentralEurope,2,8,6
Clostridium symbiosum,0.024993333862140348,CentralEurope,2,9,14
Coprococcus eutactus,0.020659191559263785,CentralEurope,2,10,15
Faecalibacterium prausnitzii,0.13682229556305348,Scandinavia,3,1,4
Ruminococcus obeum,0.08355278443974165,Scandinavia,3,2,3
Subdoligranulum variable,0.06892745738266856,Scandinavia,3,3,1
Oscillospira guillermondii,0.06273729564732042,Scandinavia,3,4,11
Prevotella melaninogenica,0.04582320415090705,Scandinavia,3,5,12
Bacteroides vulgatus,0.040555380491324275,Scandinavia,3,6,13
Coprococcus eutactus,0.03873734759572825,Scandinavia,3,7,15
Sporobacter termitidis,0.032683965176877314,Scandinavia,3,8,5
Clostridium cellulosi,0.02883530333232096,Scandinavia,3,9,6
Bifidobacterium,0.025879399496873366,Scandinavia,3,10,2
Faecalibacterium prausnitzii,0.1076995377828221,SouthEurope,4,1,4
Oscillospira guillermondii,0.0817686614369599,SouthEurope,4,2,11
Ruminococcus obeum,0.07921969668710106,SouthEurope,4,3,3
Subdoligranulum variable,0.05925131826171289,SouthEurope,4,4,1
Bacteroides vulgatus,0.04999531342626777,SouthEurope,4,5,13
Prevotella melaninogenica,0.045425124391318426,SouthEurope,4,6,12
Clostridium cellulosi,0.04462912266286046,SouthEurope,4,7,6
Sporobacter termitidis,0.03548061456504739,SouthEurope,4,8,5
Coprococcus eutactus,0.033877226039952704,SouthEurope,4,9,15
Clostridium orbiscindens,0.02753584514090606,SouthEurope,4,10,8
Faecalibacterium prausnitzii,0.1059056514079914,UKIE,5,1,4
Oscillospira guillermondii,0.08489275752626932,UKIE,5,2,11
Prevotella melaninogenica,0.07749001899150473,UKIE,5,3,12
Bacteroides vulgatus,0.06225398122724254,UKIE,5,4,13
Ruminococcus obeum,0.062182407704389764,UKIE,5,5,3
Subdoligranulum variable,0.053936885123739876,UKIE,5,6,1
Coprococcus eutactus,0.03348353817127105,UKIE,5,7,15
Bifidobacterium,0.03268638413952234,UKIE,5,8,2
Sporobacter termitidis,0.031299198950961685,UKIE,5,9,5
Clostridium cellulosi,0.027904248353659743,UKIE,5,10,6
Ruminococcus obeum,0.11191314008301952,US,6,1,3
Bacteroides vulgatus,0.10319236067871007,US,6,2,13
Faecalibacterium prausnitzii,0.07665722852618624,US,6,3,4
Prevotella melaninogenica,0.06951925975208467,US,6,4,12
Clostridium cellulosi,0.06762892552482536,US,6,5,6
Oscillospira guillermondii,0.04414836920858251,US,6,6,11
Coprococcus eutactus,0.03821762671253472,US,6,7,15
Anaerostipes caccae,0.03310068016376829,US,6,8,16
Subdoligranulum variable,0.028162625462852493,US,6,9,1
Clostridium orbiscindens,0.027434081580945804,US,6,10,8
